,review,label,count,review_nostop,nostop_count
2939,you could drive a semi truck into these holes  ,0,9,could drive semi truck holes,5
2940,linda cardellini is the only thing good in this film ,1,10,linda cardellini thing good film,5
2941,shes poised and amazing  ,1,4,shes poised amazing,3
2942,dee snider just plain sucks ,0,5,dee snider plain sucks,4
2943,he cant act one of the least scary villains i have ever seen he cant write did he write this damn movie in his sleep,0,25,cant act one least scary villains ever seen cant write write damn movie sleep,14
2944,i was bored throughout the whole damn thing ,0,8,bored throughout whole damn thing,5
2945,the acting sucks the music sucks the script sucks the pacing sucks the special fx suck the directing sucks basically this movie sucks,0,23,acting sucks music sucks script sucks pacing sucks special fx suck directing sucks basically movie sucks,16
2946,this film tries to be a serious and sophisticated thrillerhorror flick and it fails miserably ,0,15,film tries serious sophisticated thrillerhorror flick fails miserably,8
2947,this is probably one of the least effective and utterly unoriginal films i have ever seen in my entire life  ,0,20,probably one least effective utterly unoriginal films ever seen entire life,11
2948,a piece of cinematic garbage captured on celluloid  ,0,8,piece cinematic garbage captured celluloid,5
2949,avoid at any and all costs  ,0,6,avoid costs,2
2950,at any rate this film stinks its not funny and fulci should have stayed with giallo and supernatural zombie movies  ,0,20,rate film stinks funny fulci stayed giallo supernatural zombie movies,10
2951,avoid this film at all costs  ,0,6,avoid film costs,3
2952,i dont know what happened in season five what a mess,0,11,dont know happened season five mess,6
2953,the only consistent thread holding the series together were the amazing performances of leni parker and anita laselva as the two taelons in quiet idealogical conflict,0,26,consistent thread holding series together amazing performances leni parker anita laselva two taelons quiet idealogical conflict,16
2954,now this is a movie i really dislike ,0,8,movie really dislike,3
2955,its one of the most boring horror movies from the s mainly because it starts slow and centers in a boring atmosphere ,0,22,one boring horror movies mainly starts slow centers boring atmosphere,10
2956,the puppets look really cheesy  not in a good way like in the puppet master s flicks,0,17,puppets look really cheesy good way like puppet master flicks,10
2957,the story is lame not interesting and never really explains the sinister origins of the puppets ,0,16,story lame interesting never really explains sinister origins puppets,9
2958,there arent death scenes like in previous movies and the fx are terrible ,0,13,arent death scenes like previous movies fx terrible,8
2959,i felt asleep the first time i watched it so i can recommend it for insomniacs,0,16,felt asleep first time watched recommend insomniacs,7
2960,the fact is this film is a wonderful heartwarming tale about two people chasing their dreams  ,1,16,fact film wonderful heartwarming tale two people chasing dreams,9
2961,the best part about nurse betty is its unpredictability  ,1,9,best part nurse betty unpredictability,5
2962,the ending is so so perfect youll shed a tear,1,10,ending perfect youll shed tear,5
2963,i am so thrilled after seeing a movie like this,1,10,thrilled seeing movie like,4
2964,i will never forget it now ,1,6,never forget,2
2965,it is not just a cult it is a cult classic ,1,11,cult cult classic,3
2966,which has more depth and character than the man underneath it  ,0,11,depth character man underneath,4
2967,the malta settings are as dry and as barren as the dialogue ,0,12,malta settings dry barren dialogue,5
2968,this movie is terrible,0,4,movie terrible,2
2969,the hockey scenes are terrible defensemen playing like theyre  years old goalies diving at shots that are  feet wide of the net etc  ,0,23,hockey scenes terrible defensemen playing like theyre years old goalies diving shots feet wide net etc,16
2970,or those that havent seen it dont waste your time,0,10,havent seen dont waste time,5
2971,to call this movie a drama is ridiculous  ,0,8,call movie drama ridiculous,4
2972,started watching this but didnt believe in any of the characters ,0,11,started watching didnt believe characters,5
2973,in particular the relationship between the bakery assistant and the waitress just didnt work for me at all  ,0,18,particular relationship bakery assistant waitress didnt work,7
2974,it was a very superficial movie and it gave me the feeling that i was watching play rather than a film ,0,21,superficial movie gave feeling watching play rather film,8
2975,the characters were very stagey and the storyline was a lot like a stage farce ,0,15,characters stagey storyline lot like stage farce,7
2976,by the time the pyromaniac waylaid the assistant i was bored and didnt care what happened next and so i switched off ,0,22,time pyromaniac waylaid assistant bored didnt care happened next switched,10
2977,glad i didnt pay to see it  ,0,7,glad didnt pay see,4
2978,didnt laugh or even smile once,0,6,didnt laugh even smile,4
2979,but it wasnt anything at all just one big yawn  ,0,10,wasnt anything one big yawn,5
2980,it is a really good show to watch ,1,8,really good show watch,4
2981,it is very educational for children  to  years old ,1,9,educational children years old,4
2982,barney is definitely super de duper ,1,6,barney definitely super de duper,5
2983,is pretty funny  ,1,3,pretty funny,2
2984,babie bop is very cute,1,5,babie bop cute,3
2985,the kids are very cool too  ,1,6,kids cool,2
2986, but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies  ,0,18,storm trooper even bad enough make list wonderfully terrible movies,10
2987,this movie is bad,0,4,movie bad,2
2988,so bad,0,2,bad,1
2989,the film is way too long  ,0,6,film way long,3
